# t_fs P_donor rate_au
2.969857889367506800e+02 0.000000000000000000e+00 1.420684476961124858e+02
2.979857410880528619e+02 0.000000000000000000e+00 5.850178880500755518e+00
2.989856932393550437e+02 0.000000000000000000e+00 -5.707669504012719131e+01
2.999856453906572256e+02 0.000000000000000000e+00 -1.560316605266708834e+01
3.009855975419594074e+02 0.000000000000000000e+00 1.103168163890367310e+02
3.019855496932615893e+02 0.000000000000000000e+00 2.626260554574535035e+02
3.029855018445637711e+02 0.000000000000000000e+00 3.677090113874805297e+02
3.039854539958660098e+02 0.000000000000000000e+00 3.673584220891524410e+02
3.049854061471681916e+02 0.000000000000000000e+00 2.639482786953499840e+02
3.059853582984703735e+02 0.000000000000000000e+00 1.159558413221777471e+02
3.069853104497725553e+02 0.000000000000000000e+00 -6.960500403404290992e+00
3.079852626010747940e+02 0.000000000000000000e+00 -4.762940549121412204e+01
3.089852147523769759e+02 0.000000000000000000e+00 1.503648411474347490e+01
3.099851669036791577e+02 0.000000000000000000e+00 1.499906194946537710e+02
3.109851190549812827e+02 0.000000000000000000e+00 2.934611044283719252e+02
3.119850712062835214e+02 0.000000000000000000e+00 3.746684401565793223e+02
3.129850233575857033e+02 0.000000000000000000e+00 3.497732215446757209e+02
3.139849755088878851e+02 0.000000000000000000e+00 2.359091749583226658e+02
3.149849276601900669e+02 0.000000000000000000e+00 9.305239294492389490e+01
3.159848798114923056e+02 0.000000000000000000e+00 -1.264097953688685649e+01
3.169848319627944875e+02 0.000000000000000000e+00 -2.985062797749593244e+01
3.179847841140966693e+02 0.000000000000000000e+00 5.089354592497361551e+01
3.189847362653988512e+02 0.000000000000000000e+00 1.887544972138939272e+02
3.199846884167010330e+02 0.000000000000000000e+00 3.171303238604707531e+02
3.209846405680032149e+02 0.000000000000000000e+00 3.721724393573385328e+02
3.219845927193053967e+02 0.000000000000000000e+00 3.267204372561458285e+02
3.229845448706076354e+02 0.000000000000000000e+00 2.084318846388216855e+02
3.239844970219098172e+02 0.000000000000000000e+00 7.563181310191971818e+01
3.249844491732119991e+02 0.000000000000000000e+00 -9.770422153098250462e+00
3.259844013245141809e+02 0.000000000000000000e+00 -4.244884085232241588e+00
3.269843534758164196e+02 0.000000000000000000e+00 8.970480446116663131e+01
3.279843056271186015e+02 0.000000000000000000e+00 2.234467986481366779e+02
3.289842577784207833e+02 0.000000000000000000e+00 3.310194671300905611e+02
3.299842099297229083e+02 0.000000000000000000e+00 3.602407209301580906e+02
3.309841620810251470e+02 0.000000000000000000e+00 2.998161490220642804e+02
3.319841142323273289e+02 0.000000000000000000e+00 1.828771606306699766e+02
3.329840663836295107e+02 0.000000000000000000e+00 6.455596060492668187e+01
3.339840185349316926e+02 0.000000000000000000e+00 1.512051694946638269e+00
3.349839706862339312e+02 0.000000000000000000e+00 2.766641960229686603e+01
3.359839228375361131e+02 0.000000000000000000e+00 1.290377531617055524e+02
3.369838749888382949e+02 0.000000000000000000e+00 2.517014354287155129e+02
3.379838271401404768e+02 0.000000000000000000e+00 3.348696729445441065e+02
3.389837792914426586e+02 0.000000000000000000e+00 3.409488760592887502e+02
3.399837314427448405e+02 0.000000000000000000e+00 2.717645872147385262e+02
3.409836835940470223e+02 0.000000000000000000e+00 1.619678874761221437e+02
3.419836357453492610e+02 0.000000000000000000e+00 6.195058692930210498e+01
3.429835878966514429e+02 0.000000000000000000e+00 2.180044733834044024e+01
3.439835400479536247e+02 0.000000000000000000e+00 6.464545331881133450e+01
3.449834921992558066e+02 0.000000000000000000e+00 1.663062310775166850e+02
3.459834443505580452e+02 0.000000000000000000e+00 2.712932560385797274e+02
3.469833965018602271e+02 0.000000000000000000e+00 3.284476105772096730e+02
3.479833486531624089e+02 0.000000000000000000e+00 3.158374902699743529e+02
3.489833008044645339e+02 0.000000000000000000e+00 2.443318412390045467e+02
3.499832529557667726e+02 0.000000000000000000e+00 1.467347661867826787e+02
3.509832051070689545e+02 0.000000000000000000e+00 6.777660530134784267e+01
3.519831572583711363e+02 0.000000000000000000e+00 4.956742473839914709e+01
3.529831094096733182e+02 0.000000000000000000e+00 1.037890529075658748e+02
3.539830615609755569e+02 0.000000000000000000e+00 1.983049964204324738e+02
3.549830137122777387e+02 0.000000000000000000e+00 2.805242697835132049e+02
3.559829658635799206e+02 0.000000000000000000e+00 3.127246129759781752e+02
3.569829180148821024e+02 0.000000000000000000e+00 2.874591471408439247e+02
3.579828701661842842e+02 0.000000000000000000e+00 2.201864909244158355e+02
3.589828223174864661e+02 0.000000000000000000e+00 1.394563309180933004e+02
3.599827744687886479e+02 0.000000000000000000e+00 8.325180979164117900e+01
3.609827266200908298e+02 0.000000000000000000e+00 8.421975508136850408e+01
3.619826787713930685e+02 0.000000000000000000e+00 1.429865425036364570e+02
3.629826309226952503e+02 0.000000000000000000e+00 2.229185855353463239e+02
3.639825830739974322e+02 0.000000000000000000e+00 2.791393458048006551e+02
3.649825352252996709e+02 0.000000000000000000e+00 2.895738857921833755e+02
3.659824873766018527e+02 0.000000000000000000e+00 2.582832297943159006e+02
3.669824395279040345e+02 0.000000000000000000e+00 2.011696919707225959e+02
3.679823916792061596e+02 0.000000000000000000e+00 1.408160504301140463e+02
3.689823438305083982e+02 0.000000000000000000e+00 1.073656739369504294e+02
3.699822959818105801e+02 0.000000000000000000e+00 1.229668137009326472e+02
3.709822481331127619e+02 0.000000000000000000e+00 1.785871164990257682e+02
3.719822002844149438e+02 0.000000000000000000e+00 2.374642589810168829e+02
3.729821524357171825e+02 0.000000000000000000e+00 2.669393799825984956e+02
