t_fs P_1 P_2 Z
1.055000000000000000e+02 7.842345185212109548e-01 2.157654814787891562e-01 9.988366344699497468e-01
1.060000000000000000e+02 7.857853834061199194e-01 2.142146165938800806e-01 9.988812813542498059e-01
1.065000000000000000e+02 7.865081071912937150e-01 2.134918928087062850e-01 9.989267906743556358e-01
1.070000000000000000e+02 7.865838159721580958e-01 2.134161840278419320e-01 9.989727905569253386e-01
1.075000000000000000e+02 7.861686709069847234e-01 2.138313290930152211e-01 9.990178552087742858e-01
1.080000000000000000e+02 7.853210920649683624e-01 2.146789079350316931e-01 9.990589238882727763e-01
1.085000000000000000e+02 7.840589026471569412e-01 2.159410973528430033e-01 9.990920442025423842e-01
1.090000000000000000e+02 7.824656923132162767e-01 2.175343076867836956e-01 9.991135716329355709e-01
1.095000000000000000e+02 7.807487813227543816e-01 2.192512186772455907e-01 9.991210178630692829e-01
1.100000000000000000e+02 7.792051890257841729e-01 2.207948109742157161e-01 9.991136572167460539e-01
1.105000000000000000e+02 7.781235383102514946e-01 2.218764616897485054e-01 9.990931988128087804e-01
1.110000000000000000e+02 7.776858158835188162e-01 2.223141841164811561e-01 9.990640398124921440e-01
1.115000000000000000e+02 7.779177191222621524e-01 2.220822808777379309e-01 9.990322962660407313e-01
1.120000000000000000e+02 7.786947603046308064e-01 2.213052396953691936e-01 9.990038918503479914e-01
1.125000000000000000e+02 7.797812066944613818e-01 2.202187933055387015e-01 9.989831553878865122e-01
1.130000000000000000e+02 7.808791938827706058e-01 2.191208061172293942e-01 9.989727709416842405e-01
1.135000000000000000e+02 7.816847575533744097e-01 2.183152424466256181e-01 9.989740716249331243e-01
1.140000000000000000e+02 7.819595157325446300e-01 2.180404842674553145e-01 9.989861797066288407e-01
1.145000000000000000e+02 7.816144431620544175e-01 2.183855568379456102e-01 9.990043973487376938e-01
1.150000000000000000e+02 7.807734473252447849e-01 2.192265526747551874e-01 9.990201100261142386e-01
1.155000000000000000e+02 7.799569230841300049e-01 2.200430769158699396e-01 9.990233339835624671e-01
1.160000000000000000e+02 7.797666822739356407e-01 2.202333177260643593e-01 9.990067138624826315e-01
1.165000000000000000e+02 7.804996834541292339e-01 2.195003165458707106e-01 9.989669822086968409e-01
1.170000000000000000e+02 7.821349955797726183e-01 2.178650044202273817e-01 9.989049045218064693e-01
1.175000000000000000e+02 7.842423324547915797e-01 2.157576675452083648e-01 9.988253849688718544e-01
1.180000000000000000e+02 7.861032498765960774e-01 2.138967501234039781e-01 9.987392382666981927e-01
1.185000000000000000e+02 7.870277465630504121e-01 2.129722534369495601e-01 9.986642925056045117e-01
1.190000000000000000e+02 7.867194108836075284e-01 2.132805891163924716e-01 9.986224410540843754e-01
1.195000000000000000e+02 7.854780579522819828e-01 2.145219420477180450e-01 9.986329951200536570e-01
1.200000000000000000e+02 7.840893986173232966e-01 2.159106013826766757e-01 9.987067593376603991e-01
