# w J_total  J_DrudeLorentz  J_BrownianOscillator
5.182591295647824836e+02 2.952529555487331550e+02 1.644032221044620314e+02 1.308497334442711235e+02
5.202601300650325129e+02 2.980831242238213008e+02 1.645871159787629949e+02 1.334960082450582775e+02
5.222611305652826559e+02 3.009714530377545429e+02 1.647682779482061335e+02 1.362031750895484095e+02
5.242621310655327989e+02 3.039189491630047542e+02 1.649467246758108558e+02 1.389722244871938983e+02
5.262631315657829418e+02 3.069265740020982207e+02 1.651224728130615631e+02 1.418041011890366576e+02
5.282641320660330848e+02 3.099952351589918180e+02 1.652955389983310113e+02 1.446996961606608352e+02
5.302651325662832278e+02 3.131257776881525388e+02 1.654659398553310155e+02 1.476598378328215233e+02
5.322661330665332571e+02 3.163189745807877102e+02 1.656336919915911494e+02 1.506852825891965608e+02
5.342671335667834001e+02 3.195755164486224089e+02 1.657988119969646164e+02 1.537767044516577926e+02
5.362681340670335430e+02 3.228960003672798393e+02 1.659613164421615465e+02 1.569346839251182644e+02
5.382691345672836860e+02 3.262809178438454865e+02 1.661212218773088694e+02 1.601596959665366455e+02
5.402701350675338290e+02 3.297306418767028617e+02 1.662785448305374985e+02 1.634520970461653349e+02
5.422711355677839720e+02 3.332454130803881753e+02 1.664333018065955798e+02 1.668121112737925955e+02
5.442721360680341149e+02 3.368253248541952303e+02 1.665855092854885697e+02 1.702398155687066605e+02
5.462731365682841442e+02 3.404703075807282744e+02 1.667351837211451482e+02 1.737351238595831262e+02
5.482741370685342872e+02 3.441801118497628522e+02 1.668823415401091665e+02 1.772977703096536573e+02
5.502751375687844302e+02 3.479542907138028340e+02 1.670269991402572600e+02 1.809272915735455740e+02
5.522761380690345732e+02 3.517921809948350642e+02 1.671691728895421249e+02 1.846230081052929393e+02
5.542771385692847161e+02 3.556928836771428450e+02 1.673088791247607787e+02 1.883840045523820947e+02
5.562781390695348591e+02 3.596552434388618167e+02 1.674461341503481435e+02 1.922091092885137016e+02
5.582791395697848884e+02 3.636778273953784151e+02 1.675809542371951295e+02 1.960968731581832856e+02
5.602801400700350314e+02 3.677589031508418884e+02 1.677133556214916723e+02 2.000455475293502161e+02
5.622811405702851744e+02 3.718964162800522217e+02 1.678433545035937584e+02 2.040530617764584917e+02
5.642821410705353173e+02 3.760879673918720982e+02 1.679709670469147795e+02 2.081170003449573187e+02
5.662831415707854603e+02 3.803307889570131692e+02 1.680962093768406191e+02 2.122345795801725785e+02
5.682841420710356033e+02 3.846217221174902079e+02 1.682190975796685279e+02 2.164026245378217084e+02
5.702851425712856326e+02 3.889571937319548169e+02 1.683396477015693620e+02 2.206175460303854265e+02
5.722861430715357756e+02 3.933331939501782131e+02 1.684578757475726434e+02 2.248753182026055697e+02
5.742871435717859185e+02 3.977452546506281692e+02 1.685737976805752396e+02 2.291714569700529296e+02
